V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
117054,117054,ARICOTA,01/03/2006,31/03/2023,96,"5,966",DIRECCION ZONAL DE TACNA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,48,LOCUMBA,0009,"2,850",-70,-17,F,2006-03,2023-03
114004,000696,UCHUYTAMBO,,,,,DIRECCION ZONAL DE ICA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,36,GRANDE,0009,"3,701",-75,-14,C,,
113039,000688,URCOS,01/12/1963,28/02/1981,100,"6,300",DIRECCION ZONAL DE CUSCO,M,11,CO,CLIMATOLOGICA ORDINARIA,5,UCAYALI,03,URUBAMBA,0010,"3,666",-72,-14,C,1963-12,1981-02
221301,221907,ALGARROBO,,,,,DIRECCION ZONAL DE SAN MARTIN,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,2,MARAÑON,13,ALTO MARAÑON,0016,650,-79,-6,C,,
221302,220902,AMOJAO,01/01/1976,30/12/1981,100,"2,183",DIRECCION ZONAL DE LAMBAYEQUE,H,06,HLM,HIDROLOGICA LIMNIMETRICA,2,MARAÑON,13,ALTO MARAÑON,0012,476,-78,-5,C,1976-01,1981-12
221303,201111,BALZAS,01/11/2003,30/11/2020,27,"1,702",DIRECCION ZONAL DE CAJAMARCA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,2,MARAÑON,13,ALTO MARAÑON,0007,847,-78,-7,F,2003-11,2020-11
221304,220209,EL PORTECHUELO,01/02/1988,31/05/1989,31,152,DIRECCION ZONAL DE CAJAMARCA,H,06,HLM,HIDROLOGICA LIMNIMETRICA,2,MARAÑON,13,ALTO MARAÑON,0007,"2,675",-78,-8,C,1988-02,1989-05
105082,152230,VALLE LA CONQUISTA,01/02/1996,01/04/2007,62,"2,514",DIRECCION ZONAL DE SAN MARTIN,M,15,PLU,PLUVIOMETRICA,3,HUALLAGA,01,MAYO,0012,850,-77,-6,C,1996-02,2007-04
260601,260601,CHONTACHACA,05/06/2006,24/07/2006,16,8,DIRECCION ZONAL DE CUSCO,H,05,HLG,HIDROLOGICA LIMNIGRAFICA,6,MADRE DE DIOS,06,ALTO MADRE DE DIOS,,"1,075",-71,-13,C,2006-06,2006-07
117195,117195,ILO FAP,,,,,DIRECCION ZONAL DE TACNA,M,14,SIN,SINOPTICA,1,PACIFICO,00,INTERCUENCA DEL PACIFICO,,60,-71,-18,P,,
